patent_id,title,abstract,cpc_code,text
GG0600011,Audio to be recorded in a photographic film camera in association with individual exposed frames is,"Audio to be recorded in a photographic film camera in association with individual exposed frames is first digitized and stored in a temporary storage memory in the camera allowing playback through a speaker mounted in the camera to permit playback review and editing, as needed. When the film is advanced in the camera to the next exposure frame, the digital audio signal is recorded on a magnetic layer formed on the film. At the photofinisher, the digital audio signal is read and converted to suitable encodement format, such as bar code or binary coded blister marks which are impressed on the photoprint for subsequent playback.",G06N,"Audio to be recorded in a photographic film camera in association with individual exposed frames is. Audio to be recorded in a photographic film camera in association with individual exposed frames is first digitized and stored in a temporary storage memory in the camera allowing playback through a speaker mounted in the camera to permit playback review and editing, as needed. When the film is advanced in the camera to the next exposure frame, the digital audio signal is recorded on a magnetic layer formed on the film. At the photofinisher, the digital audio signal is read and converted to suitable encodement format, such as bar code or binary coded blister marks which are impressed on the photoprint for subsequent playback."
GG0600012,"In accordance with the principles of the invention, a lamellar grating interferometer breaks the rad","In accordance with the principles of the invention, a lamellar grating interferometer breaks the radiation down into its wavelength components. The two sets of teeth of the grating are moved relative to each other. The spectral output of the interferometer is focused on an array of detectors and data is stored for a large number of positions of the grating teeth. The collected data is then Fourier transformed to recover the spectrum of the radiation.",G06N,"In accordance with the principles of the invention, a lamellar grating interferometer breaks the rad. In accordance with the principles of the invention, a lamellar grating interferometer breaks the radiation down into its wavelength components. The two sets of teeth of the grating are moved relative to each other. The spectral output of the interferometer is focused on an array of detectors and data is stored for a large number of positions of the grating teeth. The collected data is then Fourier transformed to recover the spectrum of the radiation."
GG0600013,"In a method of tracking a specimen acquired from a patient, machine-readable codes present on a pati","In a method of tracking a specimen acquired from a patient, machine-readable codes present on a patient identification (ID), an order to obtain a specimen from the patient, and on a specimen-taker ID means, respectively, are stored in a computer storage. A specimen container having a fourth machine-readable code preapplied thereto is selected from a plurality of specimen containers having unique machine-readable codes preapplied thereto. In response to a processor determining that the first and second machine-readable codes are related to the same patient, the processor causes the first—fourth machine-readable codes to be relationally stored in the computer storage. Responsive to the processor receiving a signal that a specimen has been placed in the selected specimen container, the processor causes an indication thereof to be stored in the computer storage in a relational manner with the first—fourth machine-readable codes.",G06N,"In a method of tracking a specimen acquired from a patient, machine-readable codes present on a pati. In a method of tracking a specimen acquired from a patient, machine-readable codes present on a patient identification (ID), an order to obtain a specimen from the patient, and on a specimen-taker ID means, respectively, are stored in a computer storage. A specimen container having a fourth machine-readable code preapplied thereto is selected from a plurality of specimen containers having unique machine-readable codes preapplied thereto. In response to a processor determining that the first and second machine-readable codes are related to the same patient, the processor causes the first—fourth machine-readable codes to be relationally stored in the computer storage. Responsive to the processor receiving a signal that a specimen has been placed in the selected specimen container, the processor causes an indication thereof to be stored in the computer storage in a relational manner with the first—fourth machine-readable codes."
GG0600014,A voice activated device for annunciating a message indicative of a distance of the device spaced fr,"A voice activated device for annunciating a message indicative of a distance of the device spaced from another location is disclosed. The device comprises a voice sensor for receiving a voice command requesting annunciation of a message indicative of the distance of the device spaced from the other location, converting circuitry coupled to the voice sensor for converting the received voice command to a corresponding electrical command, determining circuitry responsive to the electrical command for determining the distance of the device from the other location, and a speaker coupled to the determining circuitry for annunciating the message indicative of the determined distance of the device from the other location. The device may be used for informing a golfer of the golfer&#39;s distance from the pin.",G06N,"A voice activated device for annunciating a message indicative of a distance of the device spaced fr. A voice activated device for annunciating a message indicative of a distance of the device spaced from another location is disclosed. The device comprises a voice sensor for receiving a voice command requesting annunciation of a message indicative of the distance of the device spaced from the other location, converting circuitry coupled to the voice sensor for converting the received voice command to a corresponding electrical command, determining circuitry responsive to the electrical command for determining the distance of the device from the other location, and a speaker coupled to the determining circuitry for annunciating the message indicative of the determined distance of the device from the other location. The device may be used for informing a golfer of the golfer&#39;s distance from the pin."
GG0600015,An improved system and method is disclosed for performing a design rule check on a proposed integrat,"An improved system and method is disclosed for performing a design rule check on a proposed integrated circuit (IC) layout, and for creating customized design rule check command files. The individual layers of the IC (a system on chip—SOC) are separated into different regions having different kinds of features (i.e., memory or logic). Each different type of region is then analyzed in accordance with the customized design rule command file so that so-called “false errors” are eliminated. The invention thus improves, among other things, a development time for getting a design implemented in silicon.",G06N,"An improved system and method is disclosed for performing a design rule check on a proposed integrat. An improved system and method is disclosed for performing a design rule check on a proposed integrated circuit (IC) layout, and for creating customized design rule check command files. The individual layers of the IC (a system on chip—SOC) are separated into different regions having different kinds of features (i.e., memory or logic). Each different type of region is then analyzed in accordance with the customized design rule command file so that so-called “false errors” are eliminated. The invention thus improves, among other things, a development time for getting a design implemented in silicon."
GG0600016,"In many systems, computer software is a common source of failure or instability","In many systems, computer software is a common source of failure or instability. The proliferation of multiple interacting applications from several different software vendors leads to “emergent” problems that are difficult or impossible to predict or prevent. The problems are compounded by the use of networks, which introduce the added complexity of applications on multiple machines interacting in complex scenarios. As a result, many business and home users are hindered from using software-based systems to their fullest potential. More effective use of these systems can be aided by an application which can provide services for monitoring, diagnosing, and solving problems that occur in the operation of the machines at a customer facility. In the system described herein, a database contains entries with executable code that can make use of these services in order to monitor, diagnose, and solve specific problems. Each entry in the database addresses a specific problem. The executable code is designed to isolate and recognize the problem, and then implement a fix or workaround for that problem. The executable code is designed to completely automate the entire process of detection and resolution of the problem. Further, manual intervention may be employed to complete the diagnosis or solution.",G06N,"In many systems, computer software is a common source of failure or instability. In many systems, computer software is a common source of failure or instability. The proliferation of multiple interacting applications from several different software vendors leads to “emergent” problems that are difficult or impossible to predict or prevent. The problems are compounded by the use of networks, which introduce the added complexity of applications on multiple machines interacting in complex scenarios. As a result, many business and home users are hindered from using software-based systems to their fullest potential. More effective use of these systems can be aided by an application which can provide services for monitoring, diagnosing, and solving problems that occur in the operation of the machines at a customer facility. In the system described herein, a database contains entries with executable code that can make use of these services in order to monitor, diagnose, and solve specific problems. Each entry in the database addresses a specific problem. The executable code is designed to isolate and recognize the problem, and then implement a fix or workaround for that problem. The executable code is designed to completely automate the entire process of detection and resolution of the problem. Further, manual intervention may be employed to complete the diagnosis or solution."
GG0600017,A method has been invented of providing feedback regarding tolerance for a dimension of a concrete b,"A method has been invented of providing feedback regarding tolerance for a dimension of a concrete block in relation to a datum in a computer-based system with a CPU, an input connected to the CPU, a memory associated with the CPU, a data transmitter connected to the CPU, a controller card connected to the data transmitter, an ultrasound transducer connected to the controller card, a timing device connected to the controller card, a memory means associated with the controller card, a feedback device connected to the controller card, and an environmental adaptator. Also, the invention can be described as an environmentally adaptable computer-based apparatus utilizing ultrasound for providing feedback regarding the dimensional quality of concrete blocks positioned on pallets traveling on a conveyor. The apparatus has a first memory for controlling a CPU, an input, an ultrasound transducer, a timing device, a second memory, a controller card, a data transmitter, a CPU, and a feedback device.",G06N,"A method has been invented of providing feedback regarding tolerance for a dimension of a concrete b. A method has been invented of providing feedback regarding tolerance for a dimension of a concrete block in relation to a datum in a computer-based system with a CPU, an input connected to the CPU, a memory associated with the CPU, a data transmitter connected to the CPU, a controller card connected to the data transmitter, an ultrasound transducer connected to the controller card, a timing device connected to the controller card, a memory means associated with the controller card, a feedback device connected to the controller card, and an environmental adaptator. Also, the invention can be described as an environmentally adaptable computer-based apparatus utilizing ultrasound for providing feedback regarding the dimensional quality of concrete blocks positioned on pallets traveling on a conveyor. The apparatus has a first memory for controlling a CPU, an input, an ultrasound transducer, a timing device, a second memory, a controller card, a data transmitter, a CPU, and a feedback device."
GG0600018,A waveguide hologram illumination system is based on thin substrate waveguides bearing a hologram on,"A waveguide hologram illumination system is based on thin substrate waveguides bearing a hologram on the surface through which light is diffracted out. A light source is optically coupled to the waveguide such that light emitted from the source is caused to propagate along the waveguide, being diffracted out at intersections with the surface of the waveguide on which the hologram is formed. The selective emission through the hologram can be advantageously used to illuminate display holograms or spatial light modulators. Provisions are made for rendering the amount of light emitted through the hologram uniform along the length of the hologram.",G06N,"A waveguide hologram illumination system is based on thin substrate waveguides bearing a hologram on. A waveguide hologram illumination system is based on thin substrate waveguides bearing a hologram on the surface through which light is diffracted out. A light source is optically coupled to the waveguide such that light emitted from the source is caused to propagate along the waveguide, being diffracted out at intersections with the surface of the waveguide on which the hologram is formed. The selective emission through the hologram can be advantageously used to illuminate display holograms or spatial light modulators. Provisions are made for rendering the amount of light emitted through the hologram uniform along the length of the hologram."
GG0600019,A sales-inducement business method which preferably uses a roulette wheel provided by merchants for,A sales-inducement business method which preferably uses a roulette wheel provided by merchants for their customers to play for having charges paid by the customers for goods and services refunded by the merchant if the customers win the game. Described as preferred games are miniature roulette games having horizontal roulette wheels  13  rotatable in horizontal roulette tables  14  and optionally vertical roulette wheels  21  rotatable in vertical roulette tables  22.,G06N,A sales-inducement business method which preferably uses a roulette wheel provided by merchants for. A sales-inducement business method which preferably uses a roulette wheel provided by merchants for their customers to play for having charges paid by the customers for goods and services refunded by the merchant if the customers win the game. Described as preferred games are miniature roulette games having horizontal roulette wheels  13  rotatable in horizontal roulette tables  14  and optionally vertical roulette wheels  21  rotatable in vertical roulette tables  22.
GG0600020,A method and apparatus for training a system to assess the identity of a person through the audio ch,A method and apparatus for training a system to assess the identity of a person through the audio characteristics of their voice. The system inserts an audio input (10) into an A/D Converter (20) for processing in a digital signal processor (30). The system then applies Neural network type processing by using a polynomial pattern classifier (60) for training the speaker recognition system.,G06N,A method and apparatus for training a system to assess the identity of a person through the audio ch. A method and apparatus for training a system to assess the identity of a person through the audio characteristics of their voice. The system inserts an audio input (10) into an A/D Converter (20) for processing in a digital signal processor (30). The system then applies Neural network type processing by using a polynomial pattern classifier (60) for training the speaker recognition system.
GG0600021,"In a method and a magnetic resonance apparatus for functional imaging, a number of images without an","In a method and a magnetic resonance apparatus for functional imaging, a number of images without and with a designational stimulation of the examination subject are sequentially registered in successive alternation, and an information value that indicates whether the image was registered during a phase with or without stimulation, at least one image-related stimulation value, and at least one image-related evaluation correlation value are obtained and stored for every image.",G06N,"In a method and a magnetic resonance apparatus for functional imaging, a number of images without an. In a method and a magnetic resonance apparatus for functional imaging, a number of images without and with a designational stimulation of the examination subject are sequentially registered in successive alternation, and an information value that indicates whether the image was registered during a phase with or without stimulation, at least one image-related stimulation value, and at least one image-related evaluation correlation value are obtained and stored for every image."
GG0600022,"A method and apparatus for testing dynamoelectric machine rotors, particularly squirrel cage rotors","A method and apparatus for testing dynamoelectric machine rotors, particularly squirrel cage rotors for induction motors, to obtain resistance, reactance, and effective skew values to permit identification of rotor defects. The rotor is rotated in an alternating magnetic field and pick-up coils are used to sense the voltage generated in the rotor by sensing the magnetic flux generated by magnetization of the rotor during rotation. Current sensing is used to determine the current used in magnetizing the rotor and a separate skew pick-up coil is utilized to detect effective electrical skew. These signals are processed to determine whether the rotor meets predetermined pass/fail criteria, to provide detailed statistical data and to generate a failure indication responsive to one of the values falling outside respective predetermined limits.",G06N,"A method and apparatus for testing dynamoelectric machine rotors, particularly squirrel cage rotors. A method and apparatus for testing dynamoelectric machine rotors, particularly squirrel cage rotors for induction motors, to obtain resistance, reactance, and effective skew values to permit identification of rotor defects. The rotor is rotated in an alternating magnetic field and pick-up coils are used to sense the voltage generated in the rotor by sensing the magnetic flux generated by magnetization of the rotor during rotation. Current sensing is used to determine the current used in magnetizing the rotor and a separate skew pick-up coil is utilized to detect effective electrical skew. These signals are processed to determine whether the rotor meets predetermined pass/fail criteria, to provide detailed statistical data and to generate a failure indication responsive to one of the values falling outside respective predetermined limits."
GG0600023,A compact camera lens system with a short overall length comprising a first positive meniscus lens c,"A compact camera lens system with a short overall length comprising a first positive meniscus lens component having the convex surface on the object side, a second biconcave lens component, a third biconvex lens component and a fourth negative meniscus lens component. This lens system has a field angle of view of or more than 60° and an F-number of 4.0.",G06N,"A compact camera lens system with a short overall length comprising a first positive meniscus lens c. A compact camera lens system with a short overall length comprising a first positive meniscus lens component having the convex surface on the object side, a second biconcave lens component, a third biconvex lens component and a fourth negative meniscus lens component. This lens system has a field angle of view of or more than 60° and an F-number of 4.0."
GG0600024,An apparatus for use in photogrammetry is disclosed having two spaced-apart parallel scanning zones,"An apparatus for use in photogrammetry is disclosed having two spaced-apart parallel scanning zones to which the photographs of a stereoscopic pair of photographs are mounted. 
     A carriage mounted optical scanning system is provided for scanning the two scanning zones and for projecting images of the respective zones to a binocular viewing system, and a secondary optical system is provided, preferably on the carriage, for superimposing reference marks on the projected images. 
     The scanning system is arranged in such a manner that simultaneous scanning of the two scanning zones can be effected in a first direction parallel to the scanning zones, and independent scanning of the two scanning zones can be effected in a second direction which is parallel to the scanning zones and orthogonal to the first direction. Also, the apparatus is adapted to permit relative scanning of the two scanning zones in the first direction or for optically moving the reference marks relative to one another in the first direction.",G06N,"An apparatus for use in photogrammetry is disclosed having two spaced-apart parallel scanning zones. An apparatus for use in photogrammetry is disclosed having two spaced-apart parallel scanning zones to which the photographs of a stereoscopic pair of photographs are mounted. 
     A carriage mounted optical scanning system is provided for scanning the two scanning zones and for projecting images of the respective zones to a binocular viewing system, and a secondary optical system is provided, preferably on the carriage, for superimposing reference marks on the projected images. 
     The scanning system is arranged in such a manner that simultaneous scanning of the two scanning zones can be effected in a first direction parallel to the scanning zones, and independent scanning of the two scanning zones can be effected in a second direction which is parallel to the scanning zones and orthogonal to the first direction. Also, the apparatus is adapted to permit relative scanning of the two scanning zones in the first direction or for optically moving the reference marks relative to one another in the first direction."
GG0600025,Disclosed is a code verification service that detects malformed data in an automated process and rej,"Disclosed is a code verification service that detects malformed data in an automated process and rejects submission and distribution if any malicious code is found. Once the submission is verified it may be packaged in container. The container may then be deployed to a mobile device, and the public key may be used to verify that the container authentic. The device can load trusted managed libraries needed to execute the application and a manager can ensure that only trusted libraries access native resources of the device.",G06N,"Disclosed is a code verification service that detects malformed data in an automated process and rej. Disclosed is a code verification service that detects malformed data in an automated process and rejects submission and distribution if any malicious code is found. Once the submission is verified it may be packaged in container. The container may then be deployed to a mobile device, and the public key may be used to verify that the container authentic. The device can load trusted managed libraries needed to execute the application and a manager can ensure that only trusted libraries access native resources of the device."
GG0600026,An identification card is prepared by attaching an antenna and integrated circuit chip onto a core l,"An identification card is prepared by attaching an antenna and integrated circuit chip onto a core layer of polyolefin, attaching a bottom sheet to the core layer thus encasing the antenna and integrated circuit chip, providing an image-receiving layer on one or both outer surfaces of the resulting sandwich, and laminating a protective layer or layers over the image-receiving layer(s). The identification document displays improved durability, ease of manufacture and protection of the electronic components.",G06N,"An identification card is prepared by attaching an antenna and integrated circuit chip onto a core l. An identification card is prepared by attaching an antenna and integrated circuit chip onto a core layer of polyolefin, attaching a bottom sheet to the core layer thus encasing the antenna and integrated circuit chip, providing an image-receiving layer on one or both outer surfaces of the resulting sandwich, and laminating a protective layer or layers over the image-receiving layer(s). The identification document displays improved durability, ease of manufacture and protection of the electronic components."
GG0600027,"The invention relates to a method for implementing a queue, particularly a FIFO queue, in a memory (","The invention relates to a method for implementing a queue, particularly a FIFO queue, in a memory (MEM) and to a memory arrangement. In order to enable reducing the amount of copying particularly in a functional environment, at least part of the queue is formed with a tree-shaped data structure (A, B) known per se, having nodes at several different hierarchy levels, wherein an individual node can be (i) an internal node (N 1 -N 3 ) containing at least one pointer pointing to a node lower in the tree-shaped hierarchy or (ii) a leaf node (N 4 -N 6 ) containing at least one pointer to data unit ( 1 . . . 6 ) stored in the memory or at least one data unit. A given maximum number of pointers that an individual node can contain is defined for the nodes. The additions to be made to said part are directed in the tree-shaped data structure to the first non-full node (N 4 ), seen from below, on a predetermined first edge of the data structure and they are further implemented in such a way that the leaf nodes remain at the same hierarchy level of the tree-shaped data structure, wherein when a non-full node is not present, new nodes are created to maintain the leaf nodes at the same hierarchy level. The deletions to be made from said part are typically directed to the leaf node on the opposite edge of the tree.",G06N,"The invention relates to a method for implementing a queue, particularly a FIFO queue, in a memory (. The invention relates to a method for implementing a queue, particularly a FIFO queue, in a memory (MEM) and to a memory arrangement. In order to enable reducing the amount of copying particularly in a functional environment, at least part of the queue is formed with a tree-shaped data structure (A, B) known per se, having nodes at several different hierarchy levels, wherein an individual node can be (i) an internal node (N 1 -N 3 ) containing at least one pointer pointing to a node lower in the tree-shaped hierarchy or (ii) a leaf node (N 4 -N 6 ) containing at least one pointer to data unit ( 1 . . . 6 ) stored in the memory or at least one data unit. A given maximum number of pointers that an individual node can contain is defined for the nodes. The additions to be made to said part are directed in the tree-shaped data structure to the first non-full node (N 4 ), seen from below, on a predetermined first edge of the data structure and they are further implemented in such a way that the leaf nodes remain at the same hierarchy level of the tree-shaped data structure, wherein when a non-full node is not present, new nodes are created to maintain the leaf nodes at the same hierarchy level. The deletions to be made from said part are typically directed to the leaf node on the opposite edge of the tree."
